layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
2,1,mean_mask_logit,4.186343360856881e-08,3.494346628940548e-06,1847,25,47,0.27459903044446815,-0.04230844641191399,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_1_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_1_to_mean_mask_logit.png
3,2,mean_mask_logit,7.003291102591902e-08,2.7573412353376625e-06,2191,30,31,0.392314144331248,-0.10059271758013337,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_2_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_2_to_mean_mask_logit.png
4,11,mean_mask_logit,8.595089440177617e-08,2.7548358048079535e-06,4420,61,28,0.41101199608304245,-0.10219035209209253,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_11_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_11_to_mean_mask_logit.png
4,6,mean_mask_logit,6.645997530085879e-08,2.657751110746176e-06,4420,61,28,0.405495796143952,-0.0696803651762637,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_6_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_6_to_mean_mask_logit.png
5,11,mean_mask_logit,5.8733302665814335e-08,2.6331863409723155e-06,4420,61,28,0.4909304569392452,0.050489646653765756,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_11_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_11_to_mean_mask_logit.png
4,7,mean_mask_logit,6.670036611922114e-08,2.5864294457278447e-06,4420,61,28,0.4027685953874638,-0.08056791267666726,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_7_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_7_to_mean_mask_logit.png
5,10,mean_mask_logit,5.705807737399482e-08,2.567954197729705e-06,4420,61,28,0.5223754403967925,0.2801054521847358,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_10_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_10_to_mean_mask_logit.png
4,8,mean_mask_logit,7.140527458204815e-08,2.440425305394456e-06,4420,61,28,0.40952139035310037,-0.06381997537442195,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_8_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_8_to_mean_mask_logit.png
4,9,mean_mask_logit,7.838649906943829e-08,2.4331761778739747e-06,2251,31,19,0.4051676560522018,-0.1337057650775436,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_9_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_9_to_mean_mask_logit.png
4,12,mean_mask_logit,7.865856588296083e-08,2.401461188128451e-06,2251,31,19,0.4280318667401965,0.054837940788988584,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_12_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_12_to_mean_mask_logit.png
