layer,query_index,rank,token_index,row,col,attention_mass,map_path
4,144,1,2572,35,52,0.08294418454170227,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,2,2788,38,52,0.06998362392187119,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,3,2283,31,51,0.056316960602998734,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,4,2356,32,52,0.04362517595291138,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,5,2715,37,51,0.021708818152546883,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,6,2716,37,52,0.018965402618050575,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,7,2429,33,53,0.01651184633374214,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,8,2571,35,51,0.013984199613332748,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,9,2644,36,52,0.013917215168476105,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,10,2282,31,50,0.012750755995512009,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,11,2500,34,52,0.012513372115790844,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,12,2427,33,51,0.009361018426716328,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,13,2861,39,53,0.009031967259943485,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,14,2643,36,51,0.008478738367557526,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,15,2860,39,52,0.008328420110046864,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,16,2499,34,51,0.00832444243133068,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,17,2498,34,50,0.007757440209388733,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,18,2642,36,50,0.007061361335217953,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,19,2786,38,50,0.006830036174505949,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,20,2355,32,51,0.006400374695658684,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
5,144,1,2788,38,52,0.08533922582864761,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,2,2572,35,52,0.05120067298412323,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,3,2283,31,51,0.03007962554693222,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,4,2356,32,52,0.026739947497844696,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,5,2716,37,52,0.023931114003062248,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,6,2644,36,52,0.01918538101017475,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,7,2429,33,53,0.015973079949617386,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,8,2715,37,51,0.014477417804300785,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,9,2500,34,52,0.013915368355810642,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,10,2860,39,52,0.013415911234915257,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,11,2428,33,52,0.012233715504407883,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,12,2789,38,53,0.012110053561627865,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,13,2861,39,53,0.011576419696211815,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,14,2571,35,51,0.011193874292075634,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,15,2501,34,53,0.010341241024434566,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,16,2645,36,53,0.010296743363142014,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,17,2717,37,53,0.009862728416919708,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,18,2573,35,53,0.009606728330254555,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,19,2427,33,51,0.009053142741322517,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,20,2355,32,51,0.008851191960275173,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
