layer,query_index,rank,token_index,row,col,attention_mass,map_path
3,144,18,3007,41,55,0.003942710813134909,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,19,2502,34,54,0.003941316623240709,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,20,2504,34,56,0.003884365549311042,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
4,144,1,2575,35,55,0.2684011459350586,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,2,2503,34,55,0.033779341727495193,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,3,2791,38,55,0.022517047822475433,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,4,2359,32,55,0.010659723542630672,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,5,2647,36,55,0.009197759442031384,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,6,2574,35,54,0.007866901345551014,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,7,2215,30,55,0.005532416980713606,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,8,2793,38,57,0.004191029351204634,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,9,2573,35,53,0.0038874931633472443,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,10,2577,35,57,0.003710743971168995,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,11,2429,33,53,0.003564899554476142,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,12,2361,32,57,0.0034758010879158974,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,13,2285,31,53,0.0034589883871376514,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,14,2509,34,61,0.003368602367118001,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,15,995,13,59,0.003353713545948267,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,16,2792,38,56,0.0033356989733874798,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,17,2000,27,56,0.0032712314277887344,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,18,3007,41,55,0.0031593528110533953,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,19,2431,33,55,0.003126201219856739,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
4,144,20,2438,33,62,0.0029265775810927153,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_4_query144_attn.png
5,144,1,2575,35,55,0.2559592127799988,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,2,2503,34,55,0.045424170792102814,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,3,2791,38,55,0.023605171591043472,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,4,2647,36,55,0.01724262535572052,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,5,2574,35,54,0.015343724749982357,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,6,2431,33,55,0.010165853425860405,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,7,2359,32,55,0.00946881715208292,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,8,3007,41,55,0.006989120040088892,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,9,2502,34,54,0.005960565060377121,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,10,4014,55,54,0.005938900634646416,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,11,2430,33,54,0.005551994778215885,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,12,2719,37,55,0.005343266762793064,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,13,2576,35,56,0.004923430271446705,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,14,2648,36,56,0.004476315341889858,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,15,2432,33,56,0.004461607895791531,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,16,4086,56,54,0.00425177114084363,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,17,2504,34,56,0.0042457194067537785,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,18,2646,36,54,0.004229731857776642,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,19,2215,30,55,0.003517244942486286,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
5,144,20,2577,35,57,0.0033843049313873053,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_5_query144_attn.png
