event_id,module_path,code_class,diagram_name,layer_index,attn_kind,attn_type,stream,query_shape,key_shape,value_shape,output_shape,attn_weights_shape,weights_returned,output_seq_matches_query
78,transformer.decoder.layers.1.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,1,cross_attn_text,cross,detector_query,201x1x256,33x1x256,33x1x256,201x1x256,1x8x201x33,True,True
79,transformer.decoder.layers.1.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,1,cross_attn_image,cross,detector_query,201x1x256,5184x1x256,5184x1x256,201x1x256,1x8x201x5184,True,True
80,transformer.decoder.layers.2.self_attn,MultiheadAttention,Detector Decoder Self-Attention,2,self_attn,self,detector_query,201x1x256,201x1x256,201x1x256,201x1x256,1x8x201x201,True,True
81,transformer.decoder.layers.2.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,2,cross_attn_text,cross,detector_query,201x1x256,33x1x256,33x1x256,201x1x256,1x8x201x33,True,True
82,transformer.decoder.layers.2.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,2,cross_attn_image,cross,detector_query,201x1x256,5184x1x256,5184x1x256,201x1x256,1x8x201x5184,True,True
83,transformer.decoder.layers.3.self_attn,MultiheadAttention,Detector Decoder Self-Attention,3,self_attn,self,detector_query,201x1x256,201x1x256,201x1x256,201x1x256,1x8x201x201,True,True
84,transformer.decoder.layers.3.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,3,cross_attn_text,cross,detector_query,201x1x256,33x1x256,33x1x256,201x1x256,1x8x201x33,True,True
85,transformer.decoder.layers.3.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,3,cross_attn_image,cross,detector_query,201x1x256,5184x1x256,5184x1x256,201x1x256,1x8x201x5184,True,True
86,transformer.decoder.layers.4.self_attn,MultiheadAttention,Detector Decoder Self-Attention,4,self_attn,self,detector_query,201x1x256,201x1x256,201x1x256,201x1x256,1x8x201x201,True,True
87,transformer.decoder.layers.4.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,4,cross_attn_text,cross,detector_query,201x1x256,33x1x256,33x1x256,201x1x256,1x8x201x33,True,True
88,transformer.decoder.layers.4.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,4,cross_attn_image,cross,detector_query,201x1x256,5184x1x256,5184x1x256,201x1x256,1x8x201x5184,True,True
89,transformer.decoder.layers.5.self_attn,MultiheadAttention,Detector Decoder Self-Attention,5,self_attn,self,detector_query,201x1x256,201x1x256,201x1x256,201x1x256,1x8x201x201,True,True
90,transformer.decoder.layers.5.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,5,cross_attn_text,cross,detector_query,201x1x256,33x1x256,33x1x256,201x1x256,1x8x201x33,True,True
91,transformer.decoder.layers.5.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,5,cross_attn_image,cross,detector_query,201x1x256,5184x1x256,5184x1x256,201x1x256,1x8x201x5184,True,True
92,segmentation_head.cross_attend_prompt,MultiheadAttentionWrapper,Mask Head Cross-Attention to Prompt,,cross_attn_prompt,cross,mask,5184x1x256,33x1x256,33x1x256,5184x1x256,1x8x5184x33,True,True
