event_id,t_ms,code_name,code_class,diagram_name,source_class,group,layer_index,kind,tensor_idx,tensor_name,shape,dtype,device,requires_grad,mean,std,min,max
52,395.666,transformer.encoder.layers.3.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,3,input,1,[1],1x5184x256,float32,cuda:0,False,0.4540832042694092,1.246372103691101,-7.817478656768799,6.233414173126221
53,396.046,transformer.encoder.layers.3.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,3,output,0,[0],1x5184x256,float32,cuda:0,False,-0.00045028061140328646,0.40978333353996277,-1.7940599918365479,1.8490118980407715
53,396.046,transformer.encoder.layers.3.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,3,output,1,[1],1x8x5184x5184,float32,cuda:0,False,0.0001929012214532122,0.0009610114502720535,7.463852102088738e-16,0.3497254252433777
54,408.476,transformer.encoder.layers.3.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,3,output,0,[0],1x5184x256,float32,cuda:0,False,-0.0013645172584801912,0.08211881667375565,-0.674995481967926,0.3551081717014313
54,408.476,transformer.encoder.layers.3.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,3,output,1,[1],1x8x5184x33,float32,cuda:0,False,0.03030303120613098,0.1298517882823944,0.0,0.9895560145378113
55,408.846,transformer.encoder.layers.3,TransformerEncoderLayer,Multimodal Decoder Layer,fused,multimodal_decoder,3,output,0,tensor,1x5184x256,float32,cuda:0,False,-0.03143966197967529,1.328201174736023,-12.732126235961914,7.06268310546875
56,409.225,transformer.encoder.layers.4.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,4,input,0,[0],1x5184x256,float32,cuda:0,False,0.43201184272766113,1.1288845539093018,-5.9322428703308105,5.643655776977539
56,409.225,transformer.encoder.layers.4.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,4,input,1,[1],1x5184x256,float32,cuda:0,False,0.43201184272766113,1.1288845539093018,-5.9322428703308105,5.643655776977539
57,409.613,transformer.encoder.layers.4.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,4,output,0,[0],1x5184x256,float32,cuda:0,False,-0.002321474254131317,0.5014733672142029,-2.3792672157287598,2.3933444023132324
57,409.613,transformer.encoder.layers.4.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,4,output,1,[1],1x8x5184x5184,float32,cuda:0,False,0.0001929012214532122,0.000778871588408947,6.279755032794348e-18,0.2726594805717468
